# -*- coding: iso-8859-1 -*-
# iban-pt.txt --  List of NIBs (Portugal)
Expired	CODIGO	NOME
	40	ABN AMRO BANK, N.V
	8	BAI - BANCO AFRICANO INVESTIMENTOS, SARL
	14	BANCO ALVES RIBEIRO, SA
	66	BANCO ATLÁNTICO, SA (ESPANHA)
	19	BANCO BILBAO VIZCAYA (PORTUGAL), SA
	6	BANCO BORGES & IRMÃO, SA
	10	BANCO BPI, SA
	84	BANCO CETELEM, SA
	25	BANCO CHEMICAL FINANCE, SA
	12	BANCO COMERCIAL DOS ACORES, SA
	33	BANCO COMERCIAL PORTUGUÊS, SA
	49	BANCO DE INVESTIMENTO IMOBILIÁRIO, SA
	11	BANCO DE NEGÓCIOS ARGENTARIA, SA
	1	BANCO DE PORTUGAL, EP
	22	BANCO DO BRASIL, SA
	86	BANCO EFISA, SA
	7	BANCO ESPÍRITO SANTO E COMERCIAL DE LISBOA, SA
	47	BANCO ESSI, SA
	41	BANCO EXPRESSO ATLÂNTICO, SA
	39	BANCO EXTERIOR DE ESPANA, SA
	48	BANCO FINANTIA, SA
	31	BANCO INTERNACIONAL DE CREDITO, SA
	85	BANCO ITAÚ EUROPA, SA
	23	BANCO MELLO DE INVESTIMENTOS, SA
	77	BANCO MELLO IMOBILIÁRIO, SA
	24	BANCO MELLO, SA
	13	BANCO NACIONAL ULTRAMARINO, SA
	15	BANCO PINTO & SOTTO MAYOR, SA
	17	BANCO PORTUGUÊS DO ATLÂNTICO, SA
	89	BANCO PRIVADO PORTUGUÊS, SA
	83	BANCO SABADELL, SA
	30	BANCO SANTANDER PORTUGAL, SA
	18	BANCO TOTTA & ACORES, SA
	38	BANIF - BANCO INTERNACIONAL DO FUNCHAL, SA
	90	BANKBOSTON LATINO AMERICANO, SA
	34	BANQUE NATIONALE DE PARIS
	70	BANQUE PSA FINANCE HOLDING
	32	BARCLAYS BANK, PLC
	46	BNC - BANCO NACIONAL DE CRÉDITO IMOBILIÁRIO, SA
	27	BPI - BANCO PORTUGUÊS DE INVESTIMENTO, SA
	79	BPN - BANCO PORTUGUÊS DE NEGÓCIOS, SA
	81	BSN - BANCO SANTANDER DE NEGÓCIOS PORTUGAL, SA
	45	CAIXA CENTRAL DE CRÉDITO AGRÍCOLA MÚTUO, CRL
	36	CAIXA ECONÓMICA MONTEPIO GERAL
	35	CAIXA GERAL DE DEPÓSITOS, SA
	92	CAJA AHORROS MUNICIPAL DE VIGO - CAIXAVIGO

	99	CAJA DE AHORROS DE SALAMANCA Y SORIA
	91	CENTRAL - BANCO DE INVESTIMENTO, SA
	78	CISF - BANCO DE INVESTIMENTO, SA

	28	CITIBANK PORTUGAL, SA
	21	COMP. GERAL DE CRÉDITO PREDIAL PORTUGUÊS, SA
	44	CREDIBANCO - BANCO DE CRÉDITO PESSOAL, SA
	20	CREDIT LYONNAIS PORTUGAL, SA
	43	DEUTSCHE BANK DE INVESTIMENTO, SA
	76	FINIBANCO, SA
	82	FORD CREDIT EUROPE, PLC
	29	GENERALE BANK
	3	IMI BANK (INTERNATIONAL), SA
	73	INTERBANCO, SA
	88	SELECTIBANQUE, SA
	4	SYGMA BANQUE
	42	THE BANK OF TOKYO-MITSUBISHI, LTD
	72	UNIVERSO, BANCO DIRECTO, SA
